ACC 102 INTRODUCTION TO ACCOUNTING II
"Introduction to Accounting II, a companion and sequel course to Accounting 101, continues to explore basic accounting fundamentals and concepts. The course provides an introduction to managerial accounting and internal reporting. Topics include financial accounting for long-term liabilities, the components of stockholders equity, the statement of cash flows, financial statement analysis, budgeting and variance analysis, job costing for the service sector and cost analysis for decision-making."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
4.0,Closed,4,24778,Margaret,Tower,10:10 AM,11:40 AM,502,24778,Loop Campus,"Monday, Wednesday"
N/A,Closed,4,24780,Staff,Staff,11:50 AM,1:20 PM,504,24780,Loop Campus,"Monday, Wednesday"
4.6,Closed,4,24781,Eva,Lord,1:30 PM,3:00 PM,505,24781,Loop Campus,"Monday, Wednesday"
4.6,Closed,4,24782,Eva,Lord,3:10 PM,4:40 PM,506,24782,Loop Campus,"Monday, Wednesday"
4.2,Closed,4,24783,Susan,Lueders,11:50 AM,1:20 PM,507,24783,Loop Campus,"Tuesday, Thursday"
N/A,Closed,4,24784,Matthew,Krause,11:50 AM,1:20 PM,508,24784,Loop Campus,"Tuesday, Thursday"
4.7,Closed,4,24785,Eileen,Marutzky,10:10 AM,11:40 AM,509,24785,Loop Campus,"Tuesday, Thursday"
4.2,Open,4,24786,Susan,Lueders,10:10 AM,11:40 AM,510,24786,Loop Campus,"Tuesday, Thursday"
3.3,Closed,4,24787,Robert,Ryan,1:30 PM,3:00 PM,511,24787,Loop Campus,"Tuesday, Thursday"
3.3,Open,4,24788,Robert,Ryan,3:10 PM,4:40 PM,512,24788,Loop Campus,"Tuesday, Thursday"
3.3,Open,4,24789,Robert,Ryan,5:45 PM,9:00 PM,801,24789,Loop Campus,Tuesday
4.38,Open,4,24790,Jonathan,Kochan,6:00 PM,9:15 PM,802,24790,Loop Campus,Thursday
2.5,Open,4,27039,Joseph,Ferrari,6:00 PM,9:15 PM,803,27039,Loop Campus,Monday
