AI 185 THE BEATLES AND THE CREATIVE PROCESS
"The Beatles are significant in many ways: they were an unprecedented show business phenomenon; they were leaders of Sixties cultural rebellion; and they stand, for many, as a signal instance of popular entertainment attaining the status of high art.  This course will examine the musical craftsmanship of the Beatles, focusing on their work as songwriters and record makers.  Recent audio and print releases documenting the group's performing and recording history provide a unique and detailed glimpse of the Beatles' creative process.  We will utilize these materials to closely trace the development of the group's work while using other resources to place it in a larger historical and cultural context.  The goal is to shed critical light on this recent chapter in cultural history.  That discussion will, in turn, highlight questions about creativity in a modern context where commerce vies with art, technology redefines performance and an emerging global village culture transforms concepts of originality and tradition."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
,Open,2,23758,Charles,Dicola,12:00 AM,12:00 AM,801,23758,OnLine,
,Open,2,23759,Charles,Dicola,12:00 AM,12:00 AM,802,23759,OnLine,
,Open,2,23760,Charles,Dicola,12:00 AM,12:00 AM,803,23760,OnLine,
,Open,2,23761,Charles,Dicola,12:00 AM,12:00 AM,804,23761,OnLine,
N/A,Open,2,23974,James,Kimsey,12:00 AM,12:00 AM,805,23974,OnLine,
N/A,Open,2,23975,James,Kimsey,12:00 AM,12:00 AM,806,23975,OnLine,
N/A,Open,2,23976,James,Kimsey,12:00 AM,12:00 AM,807,23976,OnLine,
N/A,Open,2,23977,James,Kimsey,12:00 AM,12:00 AM,808,23977,OnLine,
N/A,Open,2,24006,Michael,Perkovich,12:00 AM,12:00 AM,809,24006,OnLine,
N/A,Open,2,24007,Michael,Perkovich,12:00 AM,12:00 AM,810,24007,OnLine,
N/A,Open,2,24008,Michael,Perkovich,12:00 AM,12:00 AM,811,24008,OnLine,
N/A,Open,2,24009,Michael,Perkovich,12:00 AM,12:00 AM,812,24009,OnLine,
N/A,Open,2,27065,Michael,Perkovich,,,813,27065,OnLine,
N/A,Open,2,27066,Michael,Perkovich,,,814,27066,OnLine,
N/A,Open,2,27067,Michael,Perkovich,,,815,27067,OnLine,
N/A,Open,2,27068,Michael,Perkovich,,,816,27068,OnLine,
