BIO 192 GENERAL BIOLOGY II FOR SCIENCE MAJORS
"Introduction to evolution, ecology, organismal development and diversity.  Lecture-laboratory."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
2.8,Open,4,Carolyn,Martineau,2:40 PM,5:40 PM,1L1,22204,Lincoln Park Campus,Monday
N/A,Open,4,Windsor,Aguirre,9:40 AM,12:40 PM,1L2,22205,Lincoln Park Campus,Tuesday
2.8,Open,4,Carolyn,Martineau,9:40 AM,12:40 PM,1L2,22205,Lincoln Park Campus,Tuesday
4.7,Open,4,Jalene,LaMontagne,2:40 PM,5:40 PM,1L3,22206,Lincoln Park Campus,Tuesday
2.8,Open,4,Carolyn,Martineau,2:40 PM,5:40 PM,1L3,22206,Lincoln Park Campus,Tuesday
4.7,Closed,4,Jalene,LaMontagne,2:40 PM,5:40 PM,1L4,22207,Lincoln Park Campus,Wednesday
2.8,Closed,4,Carolyn,Martineau,2:40 PM,5:40 PM,1L4,22207,Lincoln Park Campus,Wednesday
2.8,Open,4,Carolyn,Martineau,9:40 AM,12:40 PM,1L5,22216,Lincoln Park Campus,Thursday
N/A,Open,4,Windsor,Aguirre,11:20 AM,12:20 PM,201,22203,Lincoln Park Campus,"Monday,Wednesday,Friday"
4.7,Open,4,Jalene,LaMontagne,11:20 AM,12:20 PM,201,22203,Lincoln Park Campus,"Monday,Wednesday,Friday"
4.5,Open,4,Timothy,Sparkes,11:20 AM,12:20 PM,202,22208,Lincoln Park Campus,"Monday,Wednesday,Friday"
N/A,Open,4,Claire,Behrens,2:40 PM,5:40 PM,2L1,22209,Lincoln Park Campus,Monday
2.8,Open,4,Carolyn,Martineau,2:40 PM,5:40 PM,2L1,22209,Lincoln Park Campus,Monday
2.8,Open,4,Carolyn,Martineau,9:40 AM,12:40 PM,2L2,22217,Lincoln Park Campus,Tuesday
3.0,Open,4,Richard,Hudson,9:40 AM,12:40 PM,2L2,22217,Lincoln Park Campus,Tuesday
2.8,Open,4,Carolyn,Martineau,2:40 PM,5:40 PM,2L3,22210,Lincoln Park Campus,Tuesday
3.0,Open,4,Richard,Hudson,2:40 PM,5:40 PM,2L3,22210,Lincoln Park Campus,Tuesday
2.8,Open,4,Carolyn,Martineau,2:40 PM,5:40 PM,2L4,22211,Lincoln Park Campus,Wednesday
3.0,Open,4,Richard,Hudson,9:40 AM,12:40 PM,2L5,22212,Lincoln Park Campus,Thursday
2.8,Open,4,Carolyn,Martineau,9:40 AM,12:40 PM,2L5,22212,Lincoln Park Campus,Thursday
