ENG 211 GRAMMAR AND STYLE
An introduction to elements of the linguistic structure of English as they are employed to create stylistic effects in writing.  The course aims at clarifying ways that language can affect audiences' perceptions and responses to writing.
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Wednesday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Wednesday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Monday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Wednesday
3.91,Open,4,20744,Craig,Sirles,1:00 PM,2:30 PM,201,20744,Lincoln Park Campus,Wednesday
