MIS 140 MANAGEMENT INFORMATION SYSTEMS
"This is an introductory course in MIS. It emphasizes the use of information technology to support business operations and management, including the use of spreadsheets to analyze and represent data. Topics include strategic uses of IT, databases, data warehouse, decision support and artificial intelligence, e-commerce, systems development, IT infrastructure, network security, social, ethical and legal considerations. Formerly MIS 340."
RMP Overall,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.2,Closed,4,Carla,Henderson,10:10 AM,11:40 AM,501,24791,Loop Campus,"Monday,Wednesday"
3.2,Closed,4,Carla,Henderson,11:50 AM,1:20 PM,502,24792,Loop Campus,"Monday,Wednesday"
3.6,Closed,4,Diane,Tarkowski,1:30 PM,3:00 PM,503,24793,Loop Campus,"Monday,Wednesday"
3.6,Closed,4,Diane,Tarkowski,3:10 PM,4:40 PM,504,24794,Loop Campus,"Monday,Wednesday"
2.04,Closed,4,Howard,Kanter,10:10 AM,11:40 AM,505,24795,Loop Campus,"Tuesday,Thursday"
2.04,Open,4,Howard,Kanter,1:30 PM,3:00 PM,506,24796,Loop Campus,"Tuesday,Thursday"
4.1,Open,4,Randall,Arakawa,1:30 PM,3:00 PM,507,24797,Loop Campus,"Tuesday,Thursday"
3.8,Closed,4,Yujong,Hwang,6:00 PM,9:15 PM,801,24798,Loop Campus,Monday
3.8,Closed,4,Yujong,Hwang,6:00 PM,9:15 PM,802,24799,Loop Campus,Tuesday
3.2,Open,4,Carla,Henderson,6:00 PM,9:15 PM,803,24800,Loop Campus,Wednesday
