"UIP 250 YOU, YOUR WORK AND THE WORLD"
"UIP 250 integrates academic curriculum with supervised work experiences in both the private and public sectors. Internships are an essential part of a student's academic experience at DePaul. The course promotes the life-long education process of integrating work and learning; enables students to view their internship experiences within a broad world perspective; assists career decision-making; drives individual success through on-the-job experiences; and provides students with valuable networking and other career-development opportunities. 

The course includes 5 2-hour classroom meetings and ongoing D2L discussions. Some sections of UIP 250 are completely online. All of our 4-credit UIP courses fulfill the JYEL learning requirement. If you have completed the requirement already, the course will be counted as a general elective course."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,4,20958,Eugene,Childs,,,201,20958,OnLine,
N/A,Open,4,20959,Eugene,Childs,,,202,20959,OnLine,
0.0,Open,4,20960,Jerilyn,Willin,,,203,20960,OnLine,
0.0,Open,4,20966,Jerilyn,Willin,6:00 PM,9:15 PM,801,20966,Loop Campus,Tuesday
0.0,Open,4,20966,Jerilyn,Willin,6:00 PM,8:00 PM,801,20966,Loop Campus,Tuesday
0.0,Open,4,20966,Jerilyn,Willin,6:00 PM,8:00 PM,801,20966,Loop Campus,Tuesday
0.0,Open,4,20966,Jerilyn,Willin,6:00 PM,8:00 PM,801,20966,Loop Campus,Tuesday
0.0,Open,4,20966,Jerilyn,Willin,6:00 PM,8:00 PM,801,20966,Loop Campus,Tuesday
3.8,Open,4,20967,Amy,Newendorp,6:00 PM,8:00 PM,802,20967,Lincoln Park Campus,Monday
3.8,Open,4,20967,Amy,Newendorp,6:00 PM,8:00 PM,802,20967,Lincoln Park Campus,Monday
3.8,Open,4,20967,Amy,Newendorp,6:00 PM,8:00 PM,802,20967,Lincoln Park Campus,Monday
3.8,Open,4,20967,Amy,Newendorp,6:00 PM,8:00 PM,802,20967,Lincoln Park Campus,Monday
3.8,Open,4,20967,Amy,Newendorp,6:00 PM,8:00 PM,802,20967,Lincoln Park Campus,Monday
N/A,Open,4,20968,Janice,Newman,,,803,20968,OnLine,
N/A,Open,4,21393,Janice,Newman,,,804,21393,OnLine,
N/A,Open,4,26777,Ashley,Greene,6:00 PM,8:00 PM,805,26777,Lincoln Park Campus,Thursday
N/A,Open,4,26777,Ashley,Greene,6:00 PM,8:00 PM,805,26777,Lincoln Park Campus,Thursday
N/A,Open,4,26777,Ashley,Greene,6:00 PM,8:00 PM,805,26777,Lincoln Park Campus,Thursday
N/A,Open,4,26777,Ashley,Greene,6:00 PM,8:00 PM,805,26777,Lincoln Park Campus,Thursday
N/A,Open,4,26777,Ashley,Greene,6:00 PM,8:00 PM,805,26777,Lincoln Park Campus,Thursday
